                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6505,                 2.4582,                 1.6212,                 1.4537,                 4.3536,                 1.4661,                0.00716,                0.54334,                0.15175,                 0.0742,                 1.7305,                 3.4244,                 1.8107,                 1.4735,                 6.8688,                 1.6166,             0.00046641,             0.00046641,             0.00046641
                      2,                 1.6947,                 1.8406,                 1.6118,                 1.5354,                 3.7226,                 1.4831,                0.70997,                0.24619,                 0.2997,                0.12582,                 1.8281,                 2.2829,                 1.9585,                  1.651,                 5.7854,                 1.7081,             0.00092408,             0.00092408,             0.00092408
                      3,                 1.7167,                 1.8484,                 1.6274,                 1.6016,                 3.4137,                 1.5227,                0.61515,                0.25208,                0.23359,                0.09307,                 1.9965,                 2.4341,                 1.9818,                  1.815,                 5.0817,                 1.9261,              0.0013629,              0.0013629,              0.0013629
                      4,                 1.7701,                 1.8438,                 1.6474,                 1.6632,                  3.078,                 1.5315,                0.67148,                0.27624,                0.29851,                0.11874,                 2.0575,                 2.4873,                 1.9699,                  2.015,                 4.5302,                 1.8705,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.7025,                 1.6883,                 1.6073,                 1.6305,                 2.6627,                 1.4993,                0.61277,                 0.2658,                0.25589,                0.10973,                 1.9606,                 2.6889,                 1.9868,                 1.8416,                 3.8955,                 1.8858,              0.0013441,              0.0013441,              0.0013441
                      6,                  1.684,                 1.6342,                 1.6002,                 1.6199,                 2.4232,                 1.4881,                0.72736,                0.35488,                0.37505,                0.15229,                 1.9676,                  1.934,                 1.9432,                 1.8468,                  2.818,                 1.7725,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.6755,                 1.5617,                 1.5847,                 1.6165,                 2.2076,                 1.4938,                0.66308,                0.29717,                0.30643,                0.13436,                  2.062,                 2.2396,                 2.0585,                 1.9669,                 2.9117,                 1.9527,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.7063,                 1.5567,                 1.5995,                 1.6604,                 2.1224,                 1.5226,                0.71932,                0.36784,                0.40696,                0.18932,                 1.8443,                 1.8315,                 1.7945,                 1.7619,                 2.3361,                 1.7126,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.6525,                 1.5058,                 1.5837,                 1.6262,                 1.9745,                 1.4895,                0.73881,                0.42473,                0.43196,                0.18429,                 1.8624,                 1.4678,                 1.7594,                 1.8238,                 1.9421,                 1.7051,              0.0012309,              0.0012309,              0.0012309
                     10,                   1.63,                 1.4314,                 1.5483,                 1.5971,                 1.8861,                 1.4666,                0.80158,                0.40045,                0.47333,                0.21682,                 1.8612,                 1.5103,                 1.7134,                 1.8137,                 1.9118,                  1.657,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.6032,                 1.3445,                 1.5206,                 1.5766,                 1.7379,                 1.4469,                0.76837,                0.45458,                0.50201,                0.23337,                 1.7427,                 1.3125,                 1.6614,                 1.7174,                 1.6711,                 1.6112,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.6035,                 1.3146,                 1.5191,                 1.6065,                 1.6692,                 1.4697,                0.79214,                 0.4302,                0.51679,                0.22423,                 1.8539,                 1.3367,                 1.7512,                 1.8163,                 1.6314,                 1.6966,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.6072,                 1.3051,                 1.5086,                 1.5913,                 1.6226,                 1.4528,                0.74968,                0.49851,                0.54034,                0.24593,                 1.7945,                 1.2696,                 1.6966,                 1.8059,                 1.5149,                  1.639,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.5752,                 1.2992,                 1.5162,                 1.5885,                 1.5944,                 1.4635,                0.81865,                0.41598,                0.57748,                 0.2689,                 1.7922,                 1.2419,                 1.6704,                  1.764,                 1.4934,                 1.6061,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.5257,                  1.249,                 1.4821,                 1.5398,                 1.5335,                 1.4324,                0.60199,                0.54781,                0.58152,                 0.2826,                 1.7341,                 1.1653,                 1.6508,                 1.7238,                 1.3495,                  1.579,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.5643,                 1.2488,                 1.4893,                 1.5905,                 1.5318,                 1.4432,                0.55133,                0.59212,                0.57787,                0.28617,                 1.7483,                 1.2948,                 1.6733,                 1.7702,                 1.4749,                 1.6266,              0.0010329,              0.0010329,              0.0010329
                     17,                  1.544,                 1.2069,                 1.4985,                 1.5569,                 1.4495,                 1.4558,                0.63389,                0.60009,                0.63719,                0.30625,                 1.7458,                 1.1504,                 1.6606,                 1.7332,                 1.3648,                 1.6013,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.5312,                 1.2011,                 1.4727,                 1.5481,                  1.456,                 1.4213,                 0.5761,                0.71567,                0.69345,                0.31264,                 1.7847,                 1.1168,                 1.7124,                 1.8211,                 1.2607,                 1.7024,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.5569,                 1.2129,                 1.4973,                 1.5672,                 1.4581,                 1.4422,                0.49849,                0.65472,                0.61374,                0.30249,                 1.6969,                  1.089,                 1.6614,                 1.6932,                 1.2791,                 1.6172,               0.000948,               0.000948,               0.000948
                     20,                 1.5084,                 1.1507,                 1.4666,                 1.5267,                 1.3765,                 1.4123,                 0.7161,                0.65168,                0.73464,                0.35309,                  1.701,                 1.0246,                 1.6308,                 1.6973,                  1.227,                 1.5704,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.5294,                 1.1373,                 1.4873,                  1.525,                 1.3746,                 1.4311,                0.76449,                 0.5836,                0.69878,                0.31744,                 1.8082,                 1.0745,                 1.6927,                 1.7963,                 1.2026,                 1.6439,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.4912,                 1.1106,                 1.4437,                  1.527,                 1.3357,                 1.3985,                0.69809,                0.65037,                0.69634,                0.34111,                 1.6922,                 1.0412,                 1.6293,                 1.6829,                   1.19,                 1.5795,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.4949,                 1.1002,                  1.454,                 1.5043,                 1.3058,                 1.4135,                0.74111,                0.67206,                0.72937,                 0.3362,                 1.7384,                 1.0201,                  1.646,                  1.769,                 1.1659,                 1.5904,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.4544,                 1.0774,                 1.4413,                 1.4685,                 1.2707,                 1.3977,                0.71285,                0.68819,                0.71018,                0.33757,                  1.712,                 1.0279,                 1.6152,                 1.6996,                 1.1939,                 1.5602,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.5117,                 1.1053,                  1.461,                 1.5403,                 1.2871,                 1.4096,                 0.5931,                0.67362,                0.68107,                0.30463,                 1.7566,                 1.0166,                 1.6714,                 1.7513,                 1.1537,                 1.6014,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.4503,                 1.0405,                 1.4389,                 1.4707,                 1.2115,                 1.3857,                0.75123,                0.63407,                0.69549,                0.32049,                 1.8502,                 1.0415,                 1.6919,                 1.8263,                 1.1661,                 1.6332,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.4418,                  1.026,                  1.419,                 1.4709,                 1.2195,                 1.3847,                0.75353,                0.67495,                0.74608,                0.38475,                 1.6327,                0.95248,                 1.5707,                 1.6682,                 1.0485,                 1.5439,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.4315,                 1.0042,                  1.409,                 1.4674,                 1.1762,                 1.3763,                0.74885,                0.59858,                 0.7173,                0.35453,                 1.6649,                0.92785,                 1.5917,                 1.6839,                 1.0661,                 1.5371,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.3871,                0.98105,                 1.3718,                 1.4174,                 1.1493,                 1.3375,                0.67253,                 0.7314,                0.73167,                0.36303,                 1.6828,                0.92553,                 1.5993,                 1.6684,                 1.0378,                 1.5373,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.4085,                0.99726,                 1.4023,                 1.4408,                  1.168,                 1.3733,                0.74953,                0.73682,                0.75754,                0.37832,                 1.6614,                0.91662,                 1.5801,                 1.6701,                 1.0172,                 1.5349,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.4201,                0.98867,                 1.4042,                 1.4466,                 1.1499,                 1.3639,                0.75651,                 0.7153,                0.80742,                0.40638,                  1.679,                0.89112,                 1.5856,                 1.6708,                0.97937,                 1.5369,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.3972,                  0.963,                   1.39,                 1.4461,                  1.122,                 1.3526,                0.66841,                0.68414,                0.72003,                0.36589,                 1.6663,                0.90453,                 1.5656,                 1.6841,                0.95379,                 1.5254,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.3962,                0.95654,                 1.3875,                 1.4383,                 1.1254,                 1.3568,                 0.7272,                0.73836,                0.73064,                0.37695,                 1.6482,                0.88611,                  1.557,                 1.6678,                0.95316,                 1.5241,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.3864,                0.91832,                 1.3591,                 1.4136,                 1.0698,                 1.3248,                0.71326,                0.73942,                0.73086,                0.36564,                 1.6959,                 0.8888,                  1.598,                 1.7024,                0.96945,                  1.556,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.3496,                0.92754,                  1.362,                 1.3818,                 1.0893,                 1.3331,                0.79611,                0.70473,                0.78763,                0.39395,                 1.6418,                0.85351,                 1.5498,                 1.6616,                0.94388,                  1.514,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.3655,                0.91759,                 1.3696,                 1.4029,                 1.0731,                 1.3467,                0.73013,                0.69737,                0.75149,                0.38497,                 1.6694,                0.87371,                 1.5819,                 1.7004,                0.93895,                 1.5444,               0.000467,               0.000467,               0.000467
                     37,                 1.3273,                0.87889,                 1.3432,                 1.3681,                 1.0245,                 1.3168,                0.75308,                0.72395,                0.78678,                0.39586,                 1.6454,                0.84551,                 1.5458,                 1.6522,                0.90153,                  1.512,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.3197,                0.89359,                 1.3477,                 1.3715,                 1.0167,                 1.3311,                0.77489,                0.69662,                0.79377,                0.39245,                 1.6611,                0.86361,                 1.5736,                 1.6823,                0.89211,                 1.5347,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.3438,                 0.9003,                  1.349,                 1.3899,                  1.037,                 1.3247,                0.81128,                0.68408,                0.78107,                0.39542,                 1.6569,                0.84176,                 1.5722,                 1.6767,                0.91516,                 1.5417,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.3254,                0.89406,                 1.3457,                 1.3704,                 1.0501,                 1.3221,                0.78222,                0.73562,                0.78753,                0.38881,                 1.7421,                0.85944,                 1.6427,                 1.7575,                0.91792,                 1.5855,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.2906,                0.75359,                 1.3614,                 1.3237,                0.80898,                 1.3343,                0.74377,                0.74488,                0.80307,                0.40865,                 1.6696,                0.84648,                 1.5826,                 1.6857,                0.88638,                 1.5349,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.2831,                 0.7123,                  1.351,                 1.3216,                0.75473,                 1.3321,                0.81018,                0.73574,                0.83195,                0.42826,                 1.6563,                0.82438,                 1.5715,                 1.6797,                0.85243,                 1.5288,             0.00029723,             0.00029723,             0.00029723
                     43,                  1.257,                0.69909,                 1.3403,                 1.3011,                0.72924,                 1.3288,                 0.7976,                0.77447,                 0.8267,                0.42162,                 1.6351,                0.80099,                  1.559,                 1.6566,                0.87973,                 1.5201,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.2248,                0.67214,                 1.3242,                 1.2601,                 0.7018,                 1.3048,                 0.7314,                0.77572,                0.81088,                0.41458,                  1.639,                0.82021,                 1.5492,                 1.6747,                0.86052,                 1.5125,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.2143,                0.67448,                 1.3011,                 1.2594,                0.70696,                 1.2828,                 0.8047,                0.72996,                0.83041,                0.41958,                  1.622,                0.79815,                 1.5424,                 1.6698,                0.83746,                 1.5142,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.2032,                0.65887,                 1.2996,                 1.2478,                 0.6883,                 1.2813,                0.75877,                0.76094,                 0.8293,                0.42869,                  1.613,                0.79007,                  1.549,                 1.6386,                0.85574,                 1.5142,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.1786,                0.64526,                  1.269,                 1.2154,                0.66378,                 1.2486,                0.77991,                0.74297,                0.81502,                0.41284,                 1.6413,                0.79242,                 1.5683,                 1.6649,                0.85676,                 1.5319,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.1721,                 0.6364,                 1.2915,                  1.208,                0.63794,                 1.2726,                0.76531,                0.78617,                0.81839,                0.41374,                 1.6391,                0.78936,                 1.5701,                 1.6704,                0.83026,                 1.5363,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.1476,                 0.6224,                 1.2608,                 1.1905,                0.64453,                 1.2429,                0.75346,                0.79653,                0.83007,                0.42987,                 1.6315,                0.78762,                 1.5607,                 1.6683,                0.83488,                 1.5253,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.1336,                0.61284,                 1.2532,                 1.1747,                0.62284,                  1.234,                0.77782,                0.76872,                 0.8212,                0.42445,                 1.6352,                0.78142,                 1.5704,                   1.67,                0.82106,                 1.5281,             7.0878e-05,             7.0878e-05,             7.0878e-05
